CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 618.718750 1713692255.7022
MEM 620.007812 1713692255.8024
MEM 620.781250 1713692255.9027
MEM 621.812500 1713692256.0029
MEM 623.101562 1713692256.1031
MEM 623.617188 1713692256.2033
MEM 624.906250 1713692256.3035
MEM 625.679688 1713692256.4037
MEM 626.710938 1713692256.5041
MEM 627.484375 1713692256.6044
MEM 627.484375 1713692256.7047
MEM 627.484375 1713692256.8057
MEM 627.742188 1713692256.9060
MEM 628.515625 1713692257.0063
MEM 629.546875 1713692257.1066
MEM 630.578125 1713692257.2069
MEM 631.351562 1713692257.3072
MEM 632.640625 1713692257.4074
MEM 633.414062 1713692257.5076
MEM 634.445312 1713692257.6078
MEM 635.734375 1713692257.7080
MEM 636.507812 1713692257.8083
MEM 637.539062 1713692257.9086
MEM 638.312500 1713692258.0089
MEM 639.343750 1713692258.1092
MEM 640.632812 1713692258.2095
MEM 641.148438 1713692258.3097
MEM 642.437500 1713692258.4100
MEM 643.468750 1713692258.5103
MEM 644.242188 1713692258.6105
MEM 645.531250 1713692258.7109
MEM 646.304688 1713692258.8112
MEM 647.335938 1713692258.9115
MEM 648.625000 1713692259.0117
MEM 649.398438 1713692259.1119
MEM 650.171875 1713692259.2121
MEM 651.460938 1713692259.3123
MEM 652.234375 1713692259.4125
MEM 653.265625 1713692259.5127
MEM 654.296875 1713692259.6129
MEM 655.070312 1713692259.7131
MEM 656.359375 1713692259.8133
MEM 656.875000 1713692259.9135
MEM 658.164062 1713692260.0138
MEM 658.937500 1713692260.1141
MEM 659.710938 1713692260.2144
MEM 661.000000 1713692260.3147
MEM 661.515625 1713692260.4149
MEM 662.804688 1713692260.5151
MEM 663.578125 1713692260.6153
MEM 664.609375 1713692260.7155
MEM 665.640625 1713692260.8156
MEM 666.414062 1713692260.9158
MEM 667.445312 1713692261.0160
MEM 668.218750 1713692261.1162
MEM 669.250000 1713692261.2164
MEM 670.281250 1713692261.3166
MEM 671.054688 1713692261.4169
MEM 672.085938 1713692261.5171
MEM 672.859375 1713692261.6172
MEM 673.890625 1713692261.7174
MEM 674.921875 1713692261.8176
MEM 675.695312 1713692261.9178
MEM 676.984375 1713692262.0181
MEM 677.500000 1713692262.1183
MEM 678.789062 1713692262.2185
MEM 679.562500 1713692262.3186
MEM 680.593750 1713692262.4188
MEM 681.367188 1713692262.5190
MEM 682.398438 1713692262.6192
MEM 683.429688 1713692262.7194
MEM 684.203125 1713692262.8195
MEM 685.234375 1713692262.9198
MEM 686.265625 1713692263.0200
MEM 687.039062 1713692263.1202
MEM 688.328125 1713692263.2204
MEM 688.843750 1713692263.3206
MEM 690.132812 1713692263.4208
MEM 690.906250 1713692263.5210
MEM 691.679688 1713692263.6212
MEM 692.968750 1713692263.7214
MEM 693.484375 1713692263.8216
MEM 694.773438 1713692263.9217
MEM 695.289062 1713692264.0219
MEM 696.578125 1713692264.1221
